Model:,MEMIE ES ANNA-LYZER
Serial No:,20250402
Calibrated:,20250402
Owner:,AV MEDICAL 1

Test,Date,Time,Tester,Location,D.U.T.,Ground,Ins Res,A-to-E,Earth Leak,Earth Leak,App Cct I,App Cct I,App Cct I,MCI,Load,Load,Ins Resist,Ins Resist,Touch Earth,Touch Iso,Touch Earth,Touch Iso,Check,Test,User,User
No,,, Name,,ID,Resist,A+N to E,Voltage,N Open,Normal,Normal,N Open,E Open,BF (mA),Steady,Peak,A+N to Skt,A+N to AP,N Open,N Open,Normal,Normal,Pass/,Pass/,Comment,Comment
,,,,,,(ohm),(Mohm),(V),(mA),(mA),(uA),(uA),(uA),CF (uA),(A),(A),(Mohm),(Mohm),(uA),(uA),(uA),(uA),Fail,Fail,One,Two
001,08-04-2025,03:09,No Tester    ,No Location  ,No DUT ID    ,0.075,199.9,0243 ,0.007,0.005,0000 ,0000 ,0000 ,00.00,     ,     ,     ,     ,     ,     ,     ,     ,    ,Pass,             ,             ,
002,11-04-2025,10:49,Farhang      ,Palm Clinic  ,No DUT ID    ,     ,     ,0236 ,     ,     ,     ,     ,     ,     ,     ,     ,199.9,     ,     ,0001 ,     ,0000 ,    ,Pass,             ,             ,
003,11-04-2025,09:53,Farhang      ,Palm Clinic  ,No DUT ID    ,     ,     ,0283 ,     ,     ,     ,     ,     ,     ,     ,     ,199.9,     ,     ,0001 ,     ,0000 ,Pass,Pass,DP30 dispense,3214U1804R   ,
004,11-04-2025,10:04,Farhang      ,Palm Clinic  ,No DUT ID    ,     ,     ,0237 ,     ,     ,     ,     ,     ,     ,     ,     ,199.9,     ,     ,0000 ,     ,0000 ,Pass,Pass,PCB04        ,503ES4799936 ,
005,11-04-2025,10:25,Farhang      ,Palm Clinic  ,No DUT ID    ,0.131,199.9,0237 ,0.003,0.002,0000 ,0000 ,0000 ,00.07,     ,     ,     ,     ,     ,     ,     ,     ,    ,Pass,GE Ultrasound,LP9440234    ,
006,11-04-2025,10:34,Farhang      ,Palm Clinic  ,No DUT ID    ,     ,     ,0239 ,     ,     ,     ,     ,     ,     ,     ,     ,199.9,     ,     ,0003 ,     ,0000 ,    ,Pass,Gel warmer   ,N/A          ,
007,11-04-2025,10:57,Farhang      ,Palm Clinic  ,No DUT ID    ,     ,     ,0242 ,     ,     ,     ,     ,     ,     ,     ,     ,199.9,     ,     ,0002 ,     ,0000 ,    ,Pass,Centrifuge   ,02665        ,
008,11-04-2025,11:12,Farhang      ,Palm Clinic  ,No DUT ID    ,0.299,005.9,0238 ,00.00,00.00,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,Pass,Sealer       ,403066/1004  ,
009,11-04-2025,11:21,Farhang      ,Palm Clinic  ,No DUT ID    ,0.201,199.9,0240 ,00.30,00.21,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,Pass,Ult bath     ,305000/33596/,
010,11-04-2025,12:50,Farhang      ,Palm Clinic  ,No DUT ID    ,0.158,199.9,0236 ,0.310,0.175,0000 ,0000 ,0003 ,0015 ,     ,     ,     ,     ,     ,     ,     ,     ,    ,Pass,COLIN ECG    ,731261       ,
